Regime,Epicentro,Ativo,Barreira_Contagio
Regime_2,CYRE3.SA,LREN3.SA,0.8922
Regime_2,CYRE3.SA,CEAB3.SA,0.8922
Regime_2,EZTC3.SA,LREN3.SA,0.8922
Regime_2,EZTC3.SA,CEAB3.SA,0.8922
Regime_2,TIMS3.SA,LREN3.SA,0.8922
Regime_2,TIMS3.SA,CEAB3.SA,0.8922
Regime_2,ITUB4.SA,BBSE3.SA,0.9009
Regime_2,BBDC4.SA,BBSE3.SA,0.9009
Regime_2,BBAS3.SA,BBSE3.SA,0.9009
Regime_2,BPAC11.SA,CYRE3.SA,0.9009
Regime_2,BPAC11.SA,EZTC3.SA,0.9009
Regime_2,BPAC11.SA,MRVE3.SA,0.9009
Regime_2,BPAC11.SA,TIMS3.SA,0.9009
Regime_2,BPAC11.SA,LREN3.SA,0.9009
Regime_2,BPAC11.SA,CEAB3.SA,0.9009
Regime_2,SANB11.SA,BBSE3.SA,0.9009
Regime_2,LREN3.SA,BPAC11.SA,0.9009
Regime_2,CEAB3.SA,BPAC11.SA,0.9009
Regime_2,PETR4.SA,BBSE3.SA,0.9009
Regime_2,MRVE3.SA,BPAC11.SA,0.9009
Regime_2,CYRE3.SA,BPAC11.SA,0.9009
Regime_2,EZTC3.SA,BPAC11.SA,0.9009
Regime_2,TIMS3.SA,BPAC11.SA,0.9009
Regime_2,BBSE3.SA,ITUB4.SA,0.9009
